Create worker:13900,-1 restart 2 08:31:30
worker:30666exited,-1 restart 19 08:36:30
Create worker:15524,-1 restart 19 08:36:30
worker:11525exited,-1 restart 1 08:36:32
Create worker:15550,-1 restart 1 08:36:32
worker:30069exited,-1 restart 18 08:42:03
Create worker:17257,-1 restart 18 08:42:03
worker:31798exited,-1 restart 12 08:49:05
Create worker:19358,-1 restart 12 08:49:05
worker:12798exited,-1 restart 7 08:51:14
Create worker:19934,-1 restart 7 08:51:14
worker:32239exited,-1 restart 20 09:02:49
Create worker:23103,-1 restart 20 09:02:49
worker:15524exited,-1 restart 19 09:04:38
Create worker:23622,-1 restart 19 09:04:38
worker:19934exited,-1 restart 7 09:09:19
Create worker:24940,-1 restart 7 09:09:19
worker:17257exited,-1 restart 18 09:12:48
Create worker:25852,-1 restart 18 09:12:48
worker:6212exited,-1 restart 8 09:17:49
Create worker:27165,-1 restart 8 09:17:49
worker:7837exited,-1 restart 15 09:19:12
Create worker:27537,-1 restart 15 09:19:12
worker:15550exited,-1 restart 1 09:20:48
Create worker:27934,-1 restart 1 09:20:48
worker:27165exited,-1 restart 8 09:20:59
Create worker:27992,-1 restart 8 09:20:59
worker:3157exited,-1 restart 11 09:29:16
Create worker:30334,-1 restart 11 09:29:16
worker:24940exited,-1 restart 7 09:42:20
Create worker:1913,-1 restart 7 09:42:20
worker:27992exited,-1 restart 8 09:43:09
Create worker:2184,-1 restart 8 09:43:09
worker:27537exited,-1 restart 15 09:45:01
Create worker:2752,-1 restart 15 09:45:01
worker:8719exited,-1 restart 4 09:46:17
Create worker:3217,-1 restart 4 09:46:17
worker:1753exited,-1 restart 17 09:46:20
Create worker:3244,-1 restart 17 09:46:20
worker:30334exited,-1 restart 11 09:50:06
Create worker:4277,-1 restart 11 09:50:06
worker:21653exited,-1 restart 6 09:50:10
Create worker:4311,-1 restart 6 09:50:10
worker:4163exited,-1 restart 3 09:50:48
Create worker:4501,-1 restart 3 09:50:48
worker:4277exited,-1 restart 11 09:52:06
Create worker:4906,-1 restart 11 09:52:06
worker:3244exited,-1 restart 17 09:54:10
Create worker:5662,-1 restart 17 09:54:10
worker:1568exited,-1 restart 16 09:54:10
Create worker:5663,-1 restart 16 09:54:10
worker:19358exited,-1 restart 12 09:56:22
Create worker:6401,-1 restart 12 09:56:22
worker:1913exited,-1 restart 7 09:56:57
Create worker:6587,-1 restart 7 09:56:57
worker:5662exited,-1 restart 17 09:57:44
Create worker:6883,-1 restart 17 09:57:44
worker:23103exited,-1 restart 20 09:59:53
Create worker:7496,-1 restart 20 09:59:53
worker:7496exited,-1 restart 20 10:01:54
Create worker:8134,-1 restart 20 10:01:54
worker:2752exited,-1 restart 15 10:02:07
Create worker:8230,-1 restart 15 10:02:07
worker:25983exited,-1 restart 10 10:04:50
Create worker:9118,-1 restart 10 10:04:50
worker:23633exited,-1 restart 13 10:06:03
Create worker:9466,-1 restart 13 10:06:03
worker:6401exited,-1 restart 12 10:11:32
Create worker:9825,-1 restart 12 10:11:32
worker:5663exited,-1 restart 16 10:19:35
Create worker:12015,-1 restart 16 10:19:35
worker:11464exited,-1 restart 14 10:19:49
Create worker:12092,-1 restart 14 10:19:49
worker:12015exited,-1 restart 16 10:22:25
Create worker:12941,-1 restart 16 10:22:25
worker:12092exited,-1 restart 14 10:22:53
Create worker:13100,-1 restart 14 10:22:53
worker:4311exited,-1 restart 6 10:29:44
Create worker:15548,-1 restart 6 10:29:44
worker:27934exited,-1 restart 1 10:32:37
Create worker:16511,-1 restart 1 10:32:37
worker:12568exited,-1 restart 9 10:34:30
Create worker:17166,-1 restart 9 10:34:30
worker:2184exited,-1 restart 8 10:34:53
Create worker:17243,-1 restart 8 10:34:53
worker:9118exited,-1 restart 10 10:41:59
Create worker:19462,-1 restart 10 10:41:59
worker:8230exited,-1 restart 15 10:44:39
Create worker:20252,-1 restart 15 10:44:39
